Statement,Label
Factbox: Main elements in France's counter-terrorism bill,TRUE
House to vote on self-driving car legislation next week,TRUE
"Special Counsel Mueller has enough evidence to charge Flynn, son: NBC",TRUE
" Trump Wets His Pants Over Bob Corker Again, Corker Alerts The White House Daycare Staff",FALSE
Two Somali soldiers wounded in gun fight with fellow troops,TRUE
Italy high court upholds four-year sentence on veteran banker Geronzi,TRUE
"Retired general, ex-CIA chief David Petraeus to receive no further punishment",TRUE
Mexico's Pemex fires warehouse workers for oil theft,TRUE
"Taiwan's Tsai: no major policy shifts, despite Trump call - reports",TRUE
 WATCH: This Is Why Conservative ‘Christians’ REALLY Still Support Serial Molestor Donald Trump,FALSE
Macri's coalition sweeps Argentina's mid-term vote,TRUE
Chinese aircraft drill again in Western Pacific,TRUE
France says pressure needed to stop North Korea crossing next nuclear hurdle,TRUE
German parties in coalition talks agree to stick to balanced budget,TRUE
Syrian refugees should return to calmer areas: Lebanon president,TRUE
 Disrespectful Prick Ted Cruz Will Snub President Obama By Skipping Final State Of The Union Address,FALSE
Serbia's pensioners rally against government austerity measures,TRUE
 Trump Mocked For Inventing Fake Civil War Battle On His Golf Course – There’s A Plaque And Everything (TWEETS),FALSE
" Conservatives Can’t Believe Canadian PM Would Understand Science, Accuse Him Of Faking It",FALSE
 Have You Fallen For The Nude Melania Trump Distraction Photos? (IMAGES),FALSE
"Head of Zimbabwe election commission quits, source says",TRUE
POTUS MEETS WITH NCAA TEAMS…Then This Amazing Thing Happens [Video],FALSE
Israel cuts jail term of soldier who killed prone Palestinian assailant,TRUE
Romania negotiating to buy U.S. rocket systems worth $1.25 billion: Pentagon,TRUE
 Twitter Relentlessly Mocks RNC Chair For Pretending All Is Fine With Trump,FALSE
Germany's Social Democrats beat Merkel's conservatives in state vote,TRUE
 Convicted Felon With A Gun Has Knee-Jerk Reaction That Kills His Own Daughter,FALSE
"Clinton thanks staff, supporters behind historic bid for U.S. presidency",TRUE
 The World Speaks Out On Trump — Top Foreign Diplomats Unite Against Him,FALSE
White House interviewing five potential U.S. Supreme Court nominees: source,TRUE
"Sanders, Trump give union hope in fight for Carrier jobs",TRUE
Same-sex marriage may be law in Australia by early December,TRUE
Trump defends attacks on Mexican-American U.S. federal judge,TRUE
'For the Party and the motherland!': North Korea's Kim heralds missile test after setbacks,TRUE
 Adele Wants NOTHING To Do With Donald Trump And Has A Message For Him,FALSE
"Claims of votes by the dead, felons cloud North Carolina governor race",TRUE
Supreme Court allows broad Trump refugee ban,TRUE
Russia says its air strike kills several top Islamic State commanders in Syria,TRUE
U.S. judge unlikely to remove block on Trump sanctuary city order,TRUE
"EU and U.S. seek trade deal this year, knowing large hurdles remain",TRUE
Illinois budget talks fizzle amid partisan entrenchment,TRUE
Florida senators seek funding for Hurricane Irma in Harvey bill,TRUE
Florida state senator resigns after racial slur,TRUE
"Trump nomination odds wane in online betting, third party run bets up",TRUE
Trump campaign signals possible shift on immigration stance,TRUE
Hong Kong democracy activists granted bail as they seek to appeal against jail terms,TRUE
"Car bomb kills 15 Afghan cadets, trainers outside Kabul military school",TRUE
"Viewers Are DEMANDING Shepard Smith Be FIRED After Fox News’ Leftist Host, Shepard Smith, Pulled UNBELIEVABLE Propaganda Stunt Last Night [VIDEO]",FALSE
Xi says China has zero tolerance for corruption within the party,TRUE
 The GOP Is Sharing Conference Space With PERFECT Metaphor For Republican Party (VIDEO),FALSE
German foreign minister says Trump dangerous for the world,TRUE
 You Won’t Believe What GOP Lead Poisoning Truthers Just Said About The Flint Water Crisis (VIDEO),FALSE
Former Turkish minister launches party to challenge Erdogan,TRUE
Senate confirms Huntsman as ambassador to Russia,TRUE
Trump says Supreme Court decision on travel ban 'a clear victory',TRUE
" Cruz Supporter Blasts Trump’s Wife For Being Foreign, Makes Sexist Attack (VIDEO)",FALSE
Polls open as Slovenian president runs for his second mandate,TRUE
Japan's Abe to launch $17-billion Indian bullet train project as ties deepen,TRUE
"Senate advances on healthcare, with dramatic return by McCain",TRUE
 Beyonce Makes Powerful Statement About Police Shootings: ‘We Are Sick And Tired’ (VIDEO),FALSE
Pakistan bars a militant-linked group from forming new political party,TRUE
Former U.S. President Jimmy Carter says would travel to North Korea: NYT,TRUE
Trump: U.S. has 'no choice' but to deal with North Korea arms challenge,TRUE
Luxembourg PM says May's task complicated by need for parliament vote,TRUE
"Clinton calls national security team after attacks, as Trump challenges her credentials",TRUE
U.S. will stand be steadfast ally to Britain as Brexit takes shape: Tillerson,TRUE
Bulgaria says border treaty revision not beneficial for regional stability,TRUE
Democrats expect Senate will oppose Obama on Saudi 9/11 bill,TRUE
Republicans have finalized compromise U.S. tax bill -chief House tax writer,TRUE
Putin tells Maduro: we'll keep cooperating with you on economy,TRUE
 Bad News For Trump — Mitch McConnell Says No To Repealing Obamacare In 2018,FALSE
"Pakistani Taliban suicide bomber rams police truck, kills seven",TRUE
 Hillary Clinton DESTROYS Trump And Cruz During Inspiring Speech In Rejection Of Fear (VIDEO),FALSE
 WATCH: Colbert Asks Tapper How CNN Staff Feels About Their Feud With Trump; His Response Is PERFECT,FALSE
"Hurricane Irma kills three in Puerto Rico, government says",TRUE
Abadi defends role of Iranian-backed paramiltaries at meeting with Tillerson,TRUE
Northern Ireland political talks stall as time runs out,TRUE
PRESIDENT TRUMP TWEETS The Perfect New Years Message…It’s Who He Included In His Tweet That Has Everyone LAUGHING!,FALSE
Obama's remarks on Orlando shooting: 'We will not give in to fear',TRUE
Ethics office concerned about White House not disciplining Conway,TRUE
Trump says U.S. upholds and sticks to 'one China' policy: Xinhua,TRUE
 Bette Midler Goes After Mitch McConnell AGAIN In Hilarious New Tweet,FALSE
EU urges swifter Brexit talks as London seeks 'flexibility',TRUE
Russia's Lavrov and Tillerson talk Syria after bombing allegations,TRUE
Trump says U.S. Secretary of State Tillerson not leaving post,TRUE
Only one-in-four Canadians support NAFTA ahead of 'Three Amigos' meet,TRUE
Japan health ministry to water down proposal on restaurant smoking: media,TRUE
Mexico's ruling party presidential hopeful trails leftist: poll,TRUE
"Palestinian rivals Hamas, Fatah agree to complete Gaza handover by Dec. 1: statement",TRUE
" Twitter BLASTS Whole Foods For Yet Another Expensive, Unnecessary Product (TWEETS)",FALSE
"Putin, Trump to discuss North Korea on Tuesday: IFX cites Kremlin aide",TRUE
 You Won’t Believe Who Paid For the Anti-Trump Sky Ads at the Rose Bowl,FALSE
 Biden In Mexico: ‘I Almost Feel Obliged To Apologize’ For Trump’s Hate Speech (VIDEO),FALSE
U.S. offers new dates when Tillerson could attend NATO meeting,TRUE
 Republican Senator Considers Obstruction Of Justice Investigation Against Trump (DETAILS),FALSE
 Hillary SHUTS DOWN Trump Supporters Calling Her Husband A Rapist At Rally (VIDEO),FALSE
Bridgegate testimony could cut Christie's last political lifeline,TRUE
Obama to meet Senate leaders over Supreme Court next week: White House,TRUE
 Trump Stole An Idea From North Korean Propaganda Parody Account To Push His Stupid Wall (DETAILS),FALSE
 Newt Gingrich Unwittingly Makes STARTLING Prediction For 2020 – Before This Election Even Happens,FALSE
 White Supremacist PAC Launches Radio Ad Touting Trump As Champion Of Christians,FALSE
"Ship traffic could resume Tuesday at Port Arthur, Texas: U.S. Coast Guard",TRUE
"South Korea condemns North Korea missile launch, says will boost response ability",TRUE
Trump criticizes treatment of Flynn as unfair,TRUE
Brazil top prosecutor requests billionaire Batista's arrest -source,TRUE
 Trump Stooge Devin Nunes Hands Investigation To Others As Ethics Committee Investigates Him,FALSE
 Electoral Map Is Changing As Deep Red Arizona And Georgia Go For Clinton,FALSE
U.S. Air Force asks industry for proposals to replace nuclear missiles,TRUE
U.S. intel report says Putin directed cyber campaign aimed at helping Trump,TRUE
Ankara mayor quits in Erdogan purge of local government,TRUE
FORMER FBI ASST DIRECTOR LETS IT RIP! Comey’s a ‘Political Hack’…Sessions is in a ‘Coma’ [Video],FALSE
Texas governor approves adoption bill that critics contend discriminates,TRUE
Clinton says she understands U.S. voter concerns about emails report,TRUE
 93 Percent Of The Great Barrier Reef Is Nearly Dead Because Of Climate Change,FALSE
"Obama visits Midway Atoll, a symbol of his climate, Asia legacy",TRUE
Who killed U.N. experts in Congo? Confidential prosecutor's file offers clues,TRUE
 One Of the Biggest Geniuses Ever Issues A Warning About Donald Trump,FALSE
 Bernie Sanders Just Received A Crucial Nevada Endorsement,FALSE
U.S. judge declines to say whether Turkish trader Zarrab will face trial,TRUE
"Obama pushes values and prods Trump in final, emotional address",TRUE
"Poland gives government key election role, opposition sounds alarm",TRUE
LPGA happy to let USGA make Trump course decision,TRUE
U.S. worried about hunger-striking Cuban dissidents: State Department,TRUE
 Megyn Kelly Reveals The Creepy Way Donald Trump Tried To ‘Woo’ Her (IMAGE),FALSE
Trump apologizes for lewd comments but calls footage a 'distraction',TRUE
" Trump Defies Courts, Refuses To Release Guiliani Memo Proving Intent To Ban Muslims",FALSE
Zimbabwe's ruling party to hold rally as anti-Mugabe tide rises,TRUE
Russia hacked Republican state campaigns but not Trump's: FBI head,TRUE
Michigan governor tells credit rating agencies state doing 'very well',TRUE
"U.S., Afghan forces strike opium factories to curb Taliban funds",TRUE
"U.S. directly communicating with North Korea, seeks dialogue",TRUE
 Trump Is Pretending He Doesn’t Want To Sue The New York Times (TWEET),FALSE
" Dan Rather Condemns Trump’s Reality Show Tactics In Syria, RIPS Media For Calling Act ‘Presidential’",FALSE
 Israeli Military General Compares Israel To Nazi Germany At Holocaust Remembrance Day Event,FALSE
Trump and senators seek to slash legal immigration,TRUE
Senior national security official to leave Justice Department,TRUE
Thousands donate to Planned Parenthood in name of anti-abortion U.S. vice president-elect,TRUE
" Chris Christie Has Disgusting Response To Angry NJ Residents, He Sounds Just Like Trump Now",FALSE
Exclusive: Anti-money laundering group blasts Mexico in draft report,TRUE
Obama to meet with national security advisers about Islamic State,TRUE
Czech PM Babis takes office but so far lacks parliamentary backing,TRUE
 Racist Barber Pulls Gun On Black Man Who Asked For A Haircut (VIDEO),FALSE
U.S. travel ban heralds 'turbulent times' for Africa: AU chief,TRUE
Obama calls for a halt to 'vicious' tone and violence on campaign trail,TRUE
 GOP Rep Goes Full Racist While Giving RIDICULOUS Reasons For Avoiding Town Hall,FALSE
Merkel says meeting with Erdogan underscored deep differences,TRUE
"South African prosecutors say Pistorius sentence 'shockingly lenient', seek appeal",TRUE
Obama urges China to address industrial excess capacity: White House,TRUE
On the sidelines of the 2016 presidential campaign,TRUE
"Trump, Scotland's Sturgeon spoke briefly on Friday: statement",TRUE
Justice Department appeals lawyer on Mueller Russia probe,TRUE
U.S. reverses course and offers new dates for NATO talks,TRUE
"In abrupt shift, Trump warms to China and NATO, sours on Russia",TRUE
Puerto Rico oversight board appointed,TRUE
U.S. shifts money away from Philippines police drug efforts,TRUE
Trump's voter fraud panel to meet as U.S. states' refusals mount,TRUE
 Melania Pauses Anti-Bullying Initiative To Say Her Husband Is Allowed To Mock Women’s IQ And Looks,FALSE
BARACK OBAMA GOES THERE…Compares President Trump To Hitler In Front Of Chicago Audience,FALSE
Former intelligence chief Clapper: Comey was uneasy with Trump dinner - MSNBC,TRUE
Egypt's Sisi says he will not seek a third term: CNBC,TRUE
Democrats see budget fight as chance to force Trump's hand on 'Dreamers',TRUE
Cuba urges U.S. not to politicize allegations of harmed diplomats,TRUE
 WATCH: Jimmy Kimmel Demonstrates That Trump Could Support Child Rape And Not Lose Any Votes,FALSE
"Most Germans want three-way coalition of conservatives, FDP and Greens: poll",TRUE
Putin gave clear response to U.S. hacking allegations: TASS cites Kremlin,TRUE
" Watch Rubio Try REALLY Hard To Comeback At Trump, Then Fail Miserably (VIDEO)",FALSE
"Trump touts tax reform, overlooks White House aide Cohn",TRUE
 WATCH: Anderson Cooper DESTROYS Ted Cruz Over His Hypocrisy On Trump,FALSE
Bulgarians use 'speed dating' to get know migrants,TRUE
 Melania Trump And Heidi Cruz Finally Get Together On ‘Maya & Marty’ – And It’s Hilarious (VIDEO),FALSE
Obama touts Supreme Court choice as symbol of fair-mindedness,TRUE
Senate intel panel's top Democrat: Lawmakers will want talk to Kushner again,TRUE
 Meet The ‘Responsible Gun Owner’ Who Was Shot In The Back By Her 4-Year-Old While Driving (VIDEO/SCREENSHOTS),FALSE
U.S. creating 'sensational hype' over China's military modernization: ministry,TRUE
 Trump Brags About Hurricane Size As Florida Braces For Disaster,FALSE
U.S. condemns Venezuelan elections as neither free nor fair,TRUE
Kushner told Flynn to contact Russians last year: NBC News,TRUE
Clinton says Russian intelligence services hacked DNC,TRUE
"'A long way to go' in German coalition talks, liberal FDP says",TRUE
JUST IN: LATINO GROUP Pulls Ad…Issues Statement On Disgusting Video of Latino Children Running From White Man: ‘We held a mirror up to the Republican Party…’ [Video],FALSE
Brazil house speaker says Temer charges must be taken together,TRUE
" Melissa Harris-Perry Is DONE With MSNBC, Pens Detailed Letter Explaining Why",FALSE
"Trump summit with Mexico's Pena Nieto still on, 'for now'",TRUE
Pressure mounts on Merkel over migrant policy in future coalition,TRUE
 South Dakota Republican Rigs Upcoming Election For Herself By Personally Purging Democratic Voters,FALSE
U.S.-Russia relations at another low after Syria attacks,TRUE
 Former Trump Campaign Manager Says It’s Too Dangerous For Trump To Be Around Black People (VIDEO),FALSE
"Obama, Senate Democrats urge Zika funding vote as reserves run low",TRUE
U.S. urges African nations to press North Korea over nuclear program,TRUE
 Russian Investigation Landing Very Close To Trump; Jared Kushner Now ‘Person Of Interest’,FALSE
Conservatives in Congress urge shutdown of IRS,TRUE
"Trump wants $4 billion more for missile defense, citing North Korea",TRUE
 This HORRIFYING List Is Exactly Why We Can’t Say ‘It Will Be Okay’ Under Trump,FALSE
Takata parts involved in blast were shipped properly: NTSB,TRUE
"Trump nominee for Israel ambassador heckled, questioned at Senate",TRUE
 Donald Trump Effigies Burned Across Mexico During Easter Ritual (IMAGE),FALSE
Kenya president ahead with 96 pct support: partial tally,TRUE
How Egypt's changing culture led one emigre to Trump,TRUE
Trump has offered national security adviser job to Flynn: AP,TRUE
 BREAKING: Highest-Ranking Elected Republican Says He Won’t Support Trump,FALSE
 Did Trump Just Accidentally Admit He Deleted Recordings Of Comey Conversations?,FALSE
Justice Kennedy on hot seat in major voting rights case,TRUE
House Speaker does not rule out amendments to debt limit bill,TRUE
" Sean Spicer Just Got Into A Fight With Reporters, Explodes Over ‘Fake News’ (VIDEO)",FALSE
"U.S.-backed Syrian forces, Iraqi army coordinate at border: SDF",TRUE
Thailand's ousted PM Yingluck has fled abroad: sources,TRUE
Trump congratulates China's Xi on 'extraordinary elevation',TRUE
"Assad aide says Syria will fight any force, including U.S.-backed militias",TRUE
BRAZILE’S BOMBSHELL BOOK Exposes How The Media And Democrat Party Hid Hillary’s Serious Illness,FALSE
Self-driving car advocates launch ad campaign to prod Congress,TRUE
 Democrats Across The Country Are Figuring Out Ways To FORCE Trump To Release His Tax Returns,FALSE
Attorney Olmem joins White House economic council: sources,TRUE
U.S. Senate Republicans want to speed Trump nominee approvals,TRUE
U.S. Navy moving aircraft carrier in anticipation of Irma relief,TRUE
Possible ruling soon on Illinois Medicaid payment priority,TRUE
Three charged in Malta for murder of anti-corruption journalist,TRUE
Taiwan hopes to find 'natural way' to engage with China's Xi at APEC,TRUE
Trump to announce vice presidential pick Friday: tweet,TRUE
 NRA President Has Meltdown Over Voting Rights And It Was SO Hypocritical,FALSE
Iran sentences member of nuclear negotiating team to five years in jail: Tasnim,TRUE
Obama says world must unite to defeat terrorism,TRUE
France's Macron urges IAEA to ensure strict compliance of Iran nuclear deal,TRUE
Chile eyes new deals with Pacific trade pact members: minister,TRUE
Kremlin warns of mutual damage if Ukraine cuts diplomatic ties,TRUE
U.S. bombers drill over Korean peninsula after latest North Korea launch,TRUE
Tropical Storm Lidia leaves seven dead in Mexico's Baja California peninsula,TRUE
"Trump OKs sending 4,000 more troops to Afghanistan: Fox News",TRUE
Newly freed Pakistani Islamist calls ex-PM Nawaz Sharif a 'traitor',TRUE
 Trump Panics: Judging My First 100 Days In Office Is A ‘Ridiculous Standard’,FALSE
"China, U.S. hold 'candid' talks on North Korea, Taiwan",TRUE
 BUSTED: Growing Evidence Supports Claim Cruz Intentionally Lied About Carson Dropping Out (AUDIO),FALSE
 Bill Maher Hits Dems Who Say They’ll Stay Home If Their Candidate Loses With Brutal Reality (VIDEO),FALSE
"Organizers of white nationalist rally in Virginia, driver sued for $3 million",TRUE
Hillary Clinton spars with comedian on parody talk-show interview,TRUE
 Ben Cohen’s Response To Fox News’ Bernie Sanders Conspiracy Theory Is Perfect (VIDEO),FALSE
Abbas: U.N. must try to end Israeli occupation 'within set timeframe',TRUE
What we know about U.S. probes of Russian meddling in 2016 election,TRUE
CROOKED DEMOCRAT Congresswoman Corrine Brown Found GUILTY of STEALING Scholarship Money From Children…Blames RACISM For Verdict,FALSE
 John McCain’s 2008 Top Campaign Adviser Abandons GOP Over Trump: ‘I’m With Her’ Instead,FALSE
Russia's Sibur says had no direct dealings with Wilbur Ross,TRUE
Wind energy firms cheer U.S. Senate tax bill for keeping tax credit,TRUE
Trump says Taiwan president 'called me' to offer congratulations,TRUE
 Here’s The Master List Of Reasons Why Trump Would Be The Worst President EVER (CITATIONS),FALSE
 Asian American Organizations RAIN HELL Upon Fox News For Racist Chinatown Segment,FALSE
 Trump Gets SMOKED After Telling The American People It’s His Duty To Protect Their Lives,FALSE
 Sweden OPENLY Makes Fun Of Trump On Twitter With All-Female Signing Pic; It’s AMAZING,FALSE
Western push at U.N. to boost backing for Syria gas attack inquiry,TRUE
 GOP Governor Demands A ‘Thank You’ From Rep. John Lewis Because Republicans Freed The Slaves,FALSE
French truckers jam border crossings over cut-price competition,TRUE
Austria's conservative-far right cabinet likely sworn in Dec. 20: source,TRUE
Congress subcommittee grills U.S. banks regulator about data breaches,TRUE
 Highest Canadian Court CONFIRMS Trump Scammed Investors (DETAILS),FALSE
Protesters gather in Kiev after police recapture ex-Georgia leader Saakashvili,TRUE
Trump says strategic patience with North Korea over,TRUE
Obama rallies Obamacare troops at 'critical time' for program,TRUE
Islamic State claims responsibility for suicide attacks in southern Iraq: Amaq,TRUE
UK PM May to make Brexit speech in Italy on Sept. 22: spokesman,TRUE
 Fox News Says ‘Health Insurance Doesn’t Matter Cause We’re All Going To Die Anyway’,FALSE
"Germany takes political vacuum in its stride, for now",TRUE
Drug enforcement chief criticizes Trump in email to agents,TRUE
" Trump’s Atty. Gen. Pick LIES About His Civil Rights Record, REAL Civil Rights Lawyers CRUSH Him",FALSE
Exclusive: Half of Americans think presidential nominating system 'rigged' - poll,TRUE
Indonesia orders immediate evacuation as highest alert issued for Bali volcano,TRUE
"In attacking Clinton foundation, Trump seeks a Republican rallying cry",TRUE
Belgian judge to decide on warrant for ex-Catalan leader on Dec. 14: lawyer,TRUE
Most Republicans believe Russia is meddling in U.S. election: Reuters/Ipsos poll,TRUE
"Russia, Jordan agree to speed de-escalation zone in south Syria",TRUE
U.S. gives Laos extra $90 million to help clear unexploded ordnance,TRUE
France's Le Pen says victim of 'banking fatwa' over account closures,TRUE
"As Texans' claims pour in, Congress mulls flood insurance program's future",TRUE
" BREAKING: Trump DEVASTATED, Drops Anti-LGBT Executive Order After Facing Public Outrage (DETAILS)",FALSE
U.N. chief says no alternative to two state solution in Middle East,TRUE
California legislature sends $122.5 billion budget to governor,TRUE
U.S. ends program for Central American minors fleeing violence,TRUE
Iraqi PM says 'will not wait forever' to take action on border areas,TRUE
 CO GOP Swears Racist Anti-Obama Pic Was A Hack – After Lawmaker Says It Was A ‘Joke’ (IMAGE),FALSE
"UK 'not ramping up for no Brexit deal,' says PM May",TRUE
 Darrell Issa: Trump’s Muslim Ban Is OK Because ‘This Happens’ To ‘People Of This Color’ Daily (VIDEO),FALSE
" Donald Trump Just Said The DUMBEST Thing About Obamacare, And It’s Totally False (VIDEO)",FALSE
Attorney General Lynch asks not to be considered for Supreme Court vacancy,TRUE
Russia's Lavrov and Iran's Zarif discuss nuclear issue by phone: Russia,TRUE
U.S. would welcome new EU sanctions on Iran: official,TRUE
China's richest man built fortune even as debt mountain climbed,TRUE
 Donald Trump On Accusations Of Sexual Assault: Mexico Did It,FALSE
Sessions confirmed as U.S. attorney general after battle with Democrats,TRUE
 Chris Wallace SCOLDS Fox News Colleagues For Not Covering Comey Firing Seriously (VIDEO),FALSE
" American Airlines Crew Hits Woman With Stroller, Challenges Passenger To Fight (VIDEO)",FALSE
"Supporters of Egypt presidential hopeful arrested, say security sources, family",TRUE
 WATCH: CNN Host Chris Cuomo Just Called Trump’s Campaign Chair A Liar On National TV,FALSE
Four dead in ambush of World Food Programme convoy in Nigeria,TRUE
 Conservative Indiana Governor’s Stupid Response To LGBT Question Gets Him In Big Trouble (VIDEO),FALSE
 Trump Just Got Punked HARD For His Acceptance Of A Purple Heart,FALSE
"Exclusive: EU dismisses smoke regulation, looks into tougher fire safety tests",TRUE
 Donald Trump’s Despicable Response To The Brussels Bombings Proves Him Unfit For President (VIDEO/TWEETS),FALSE
 Trump’s Kids Thought They Could Post This Without The Internet Perfectly Mocking Them (TWEETS),FALSE
Transgender court hearing set amid fight over Trump nominee,TRUE
Colombia's FARC say six ex-members murdered in restive province,TRUE
 UNPRECEDENTED: FBI Asks DOJ To Confirm Trump Lied About ‘Wiretaps’ (DETAILS),FALSE
Father of U.S. war hero attacks Trump's comment at debate,TRUE
Senate tax chief questions border adjustment tax,TRUE
Trump says only role for U.S. in Libya is defeating Islamic State,TRUE
U.S. says Myanmar should respond responsibly to attacks on security forces,TRUE
Supreme Court rejects constitutional challenge to death penalty,TRUE
Indonesian officials find multiple violations in deadly factory blaze,TRUE
 GOP Implodes As Trump Launches Nasty Public Fight Against Top Republican (TWEETS),FALSE
"In Cuba visit, Colorado governor sees government desire to work with Trump",TRUE
"Polish parliament, defying EU, approves judiciary overhaul",TRUE
Canada's Liberals look to economy to guide them past ethics scandal,TRUE
"Trump's son-in-law, Kushner, flies into Iraq with top U.S. general",TRUE
 Pastafarian Fights Georgia For Right To Wear Colander In License Photo — Will Probably Win,FALSE
 Trump Responds To Third-Party Candidate The Only Way He Knows How (TWEETS),FALSE
 Trump Has Extremely Inappropriate Reaction To Being Contradicted By His Own National Security Adviser,FALSE
Clinton's Asian-American outreach director leaving campaign,TRUE
Clinton says Trump campaign likely guided Russians before U.S. election,TRUE
 WATCH: Anti-Gun Group Absolutely DESTROYS NRA For Marketing Guns To Kids,FALSE
Germany not first in line to send more troops to Afghanistan: minister,TRUE
Kenyan opposition protester dies from gunshot wound in Kisumu: medic,TRUE
China police say some claims of abuse at Beijing kindergarten unfounded,TRUE
"U.N. warns millions at risk in Yemen, urges Saudi coalition to open ports",TRUE
"France's Le Pen: far-right will rebuild, continue fight against EU",TRUE
Republican Collins' call for Garland hearings spurned,TRUE
"May, Juncker call for faster Brexit talks",TRUE
 Ted Cruz Gets Cut Off Mid-Speech At Conservative Conference And Even CSPAN Is Mocking Him (VIDEO),FALSE
House Budget Committee chair: Tax bill to be released early Thursday,TRUE
 Trump Awards Woman The Medal Of Valor Then Kisses Her,FALSE
 Former GOP Senator BLASTS Trump: ‘I Think He’s A Sociopath’,FALSE
Davos elites struggle for answers as Trump era dawns,TRUE
"Tillerson, Canadian counterpart to discuss border security, other issues",TRUE
Russian Foreign Ministry says latest U.S. sanctions are 'grotesque',TRUE
Revamping Dodd-Frank a 'this-year priority': U.S. lawmaker,TRUE
Senate to vote on Iran sanctions renewal this week,TRUE
 President Obama Tells Audience Why Americans Deserve Trump And Republicans,FALSE
Bus bomb kills eight in Syria's Homs city: state media,TRUE
Abe aims to underscore importance of Japan-U.S. alliance with Trump,TRUE
Britain aiming for outline Brexit transition deal by first quarter of 2018: Davis,TRUE
China hopes U.S. will not allow transit by Taiwan president,TRUE
IS car bomb kills 20 in eastern Syria: state media,TRUE
U.S. states realign in legal battle over Trump's travel ban,TRUE
 CNN Refuses To Air Trump’s First 100 Days Ad For One Very Good Reason – See For Yourself (VIDEO),FALSE
TPP countries consider amendments to stalled trade deal: sources,TRUE
 McCain Has The Best Laugh He’s Had In 80 Years When He’s Asked THIS About Donald Trump,FALSE
 North Carolina’s New Anti-Gay Law Just Killed HUNDREDS Of Jobs,FALSE
Senate to hold vote on stopping gun control bill: Corker,TRUE
Exclusive: Super PACs backing Republican Cruz buy $2.4 million in ads in eight states,TRUE
 ‘Go Back To Your Own Country’: Right-Wing Bigot Shoots Man In Fit Of Anti-Immigrant Rage,FALSE
Trump considering how move of U.S. Embassy in Israel could affect Mideast peace,TRUE
Turkey detains 136 for suspected ties to coup plotters: agency,TRUE
" Scaramucci’s New Yorker Interview Is More Than Just Gross, It May Be A Felony",FALSE
 9-Year-Old Reporter Just HUMILIATED Critics Who Told Her To Quit And Play With Dolls (VIDEO),FALSE
"Juncker wants EU finance minister, no separate euro budget or parliament",TRUE
 WATCH: Hannity Loses His Sh*t And Refers To Hillary As ‘President Clinton’ During UNHINGED Rant,FALSE
House panel approves budget measure that advances tax reform,TRUE
Japan's Abe calls for enforcement of sanctions against North Korea: NYT,TRUE
Families returning to ruined Philippine city taught to identify bombs,TRUE
"Appellate judges Garland, Srinivasan considered for U.S. top court: NYT",TRUE
 OkCupid Wins The Internet With PERFECT Response To The Charlottesville Neo-Nazi On Their Site (TWEETS),FALSE
Japan minister says agrees with South Korea that China's role vital on North Korea,TRUE
Police at Scottish parliament after suspect package found,TRUE
Trump wades in on flap over L.L. Bean boycott threats,TRUE
"Trump denounces attack in London, urges 'proactive' steps",TRUE
Majority of people in France now dissatisfied with Macron: poll,TRUE
 Michigan Has Been Drug Testing Welfare Recipients; You Won’t Believe How Many Tested Positive,FALSE
